"path","line","kind","owner","name","status"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","71","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","72","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","75","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","76","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","opponentServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","78","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","131","LOCAL_VARIABLE","route(java.lang.String)","nl","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","132","LOCAL_VARIABLE","route(java.lang.String)","kind","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","136","LOCAL_VARIABLE","route(java.lang.String)","rest","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","137","LOCAL_VARIABLE","route(java.lang.String)","rnl","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","138","LOCAL_VARIABLE","route(java.lang.String)","target","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","144","PARAMETER","attachBody(com.cobblemon.mod.common.entity.npc.NPCEntity,xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor)","actor","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","144","PARAMETER","attachBody(com.cobblemon.mod.common.entity.npc.NPCEntity,xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","154","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","attachProp","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","154","PARAMETER","attachProp(com.cobblemon.mod.common.entity.pokemon.PokemonEntity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","160","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","takeProps","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","244","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","bindLocalId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","244","PARAMETER","bindLocalId(java.util.UUID)","id","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","248","PARAMETER","attach(com.cobblemon.mod.common.api.battles.model.PokemonBattle)","battle","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","256","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","apply","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","257","LOCAL_VARIABLE","apply(java.lang.String)","id","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","29","CLASS","xiaocaoawa.minecraft.mod.cobblebattle.battle","MirrorFactory","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","69","PARAMETER","MirrorFactory(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorFactory.java","108","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorFactory","build","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","47","PARAMETER","isOrphan(net.minecraft.world.entity.Entity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","60","PARAMETER","spawn(net.minecraft.server.level.ServerPlayer,java.lang.String)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","60","PARAMETER","spawn(net.minecraft.server.level.ServerPlayer,java.lang.String)","viewer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","firstName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","secondName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","67","PARAMETER","spawnPair(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String)","viewer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorNpc.java","170","PARAMETER","despawn(com.cobblemon.mod.common.entity.npc.NPCEntity)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","16","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","TAG","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","22","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","claim","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","22","PARAMETER","claim(xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","mirror","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","31","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorPokemon","release","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorPokemon.java","40","PARAMETER","onEntityAdded(net.minecraft.world.entity.Entity)","entity","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","16","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","displayName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","17","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","18","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.RemoteBattleActor","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","displayName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","20","PARAMETER","RemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","43","PARAMETER","nameOwned(java.lang.String)","name","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","47","PARAMETER","sendUpdate(com.cobblemon.mod.common.api.net.NetworkPacket<?>)","packet","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","50","PARAMETER","sendMessage(net.minecraft.network.chat.Component)","component","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","53","PARAMETER","awardExperience(com.cobblemon.mod.common.battles.pokemon.BattlePokemon,int)","experience","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","56","PARAMETER","win(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","losers","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","56","PARAMETER","win(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","otherWinners","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","59","PARAMETER","lose(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","otherLosers","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteBattleActor.java","59","PARAMETER","lose(java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>,java.util.List<? extends com.cobblemon.mod.common.api.battles.model.actor.BattleActor>)","winners","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/RemoteTeamCodec.java","70","PARAMETER","decode(java.lang.String)","packed","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","29","CLASS","xiaocaoawa.minecraft.mod.cobblebattle.battle","SpectatorFactory","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","33","PARAMETER","SpectatorFactory(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","37","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.SpectatorFactory","begin","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/SpectatorFactory.java","204","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.SpectatorFactory","end","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","23","CLASS","xiaocaoawa.minecraft.mod.cobblebattle.battle","TeamPreviews","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","24","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","LOGGER","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","25","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","28","PARAMETER","TeamPreviews(xiaocaoawa.minecraft.mod.cobblebattle.battle.CrossServerBattleService)","service","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","32","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","clear","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","36","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","forget","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","40","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","onOpen","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","41","LOCAL_VARIABLE","onOpen(com.google.gson.JsonObject)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","43","LOCAL_VARIABLE","onOpen(com.google.gson.JsonObject)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","54","LOCAL_VARIABLE","onOpen(com.google.gson.JsonObject)","mine","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","56","LOCAL_VARIABLE","onOpen(com.google.gson.JsonObject)","pick","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","64","LOCAL_VARIABLE","onOpen(com.google.gson.JsonObject)","shown","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","91","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","onState","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","96","LOCAL_VARIABLE","onState(com.google.gson.JsonObject)","session","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","112","LOCAL_VARIABLE","onState(com.google.gson.JsonObject)","shown","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","126","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","onClosed","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","130","LOCAL_VARIABLE","onClosed(com.google.gson.JsonObject)","session","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","145","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","onPicked","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","145","PARAMETER","onPicked(net.minecraft.server.level.ServerPlayer,java.lang.String,java.util.List<java.lang.Integer>)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","145","PARAMETER","onPicked(net.minecraft.server.level.ServerPlayer,java.lang.String,java.util.List<java.lang.Integer>)","picks","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","147","LOCAL_VARIABLE","onPicked(net.minecraft.server.level.ServerPlayer,java.lang.String,java.util.List<java.lang.Integer>)","session","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","161","LOCAL_VARIABLE","onPicked(net.minecraft.server.level.ServerPlayer,java.lang.String,java.util.List<java.lang.Integer>)","shown","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","168","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.TeamPreviews","send","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","168","PARAMETER","send(java.lang.String,java.util.UUID,java.util.List<java.lang.Integer>)","battleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/TeamPreviews.java","168","PARAMETER","send(java.lang.String,java.util.UUID,java.util.List<java.lang.Integer>)","picks","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.client.AuthScreenHandler","submit","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String)","accountId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String)","code","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String)","email","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String)","mode","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/AuthScreenHandler.java","31","PARAMETER","submit(xiaocaoawa.minecraft.mod.cobblebattle.account.AuthMode,java.lang.String,java.lang.String,java.lang.String,java.lang.String)","password","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/BackButton.java","12","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.client.BackButton","FILL","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/client/BackButton.java","13","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.client.BackButton","FILL_HOVER","待重构"
